Title,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Publishers,Price,Release.Console,Release.Year,Length.Completionists.Polled,Length.Main Story.Average
Eragon,1,True,True,"Action,Role-Playing (RPG)",,16.95,Nintendo DS,2006,6,5.433333333333334
Escape from Bug Island,1,True,True,Action,Eidos,14.95,Nintendo Wii,2007,0,5.683333333333334
Eternal Sonata,1,True,True,Role-Playing (RPG),Namco,27.95,X360,2007,14,29.133333333333333
Etrian Odyssey,1,True,True,Role-Playing (RPG),Nintendo,24.95,Nintendo DS,2007,4,51.0
Etrian Odyssey II: Heroes of Lagaard,1,True,True,Role-Playing (RPG),,24.95,Nintendo DS,2008,1,49.7
Every Extend Extra,1,True,True,Action,,11.95,Sony PSP,2006,0,12.0
Excite Truck,2,True,True,Racing / Driving,Nintendo,19.95,Nintendo Wii,2006,3,7.0
Exit,1,True,True,Action,Ubisoft,9.95,Sony PSP,2005,0,6.0
F.E.A.R. Files,1,True,True,Action,,17.95,X360,2007,0,10.5
F.E.A.R.: First Encounter Assault Recon,1,True,True,Action,,17.95,X360,2006,62,8.583333333333334
Fable II,1,True,True,Role-Playing (RPG),Microsoft,17.95,X360,2008,28,12.816666666666666
Facebreaker,2,True,True,Sports,EA,12.95,X360,2008,0,0.0
Fading Shadows,1,True,True,"Action,Adventure",,17.95,Sony PSP,2008,0,0.0
Fallout 3,1,True,True,"Action,Role-Playing (RPG)",,17.95,X360,2008,146,24.55
Family Guy Video Game!,1,True,True,Action,2K,19.95,Sony PSP,2006,0,6.1
Fantastic Four: Rise of the Silver Surfer,4,True,True,Action,2K,14.95,PlayStation 3,2007,0,5.566666666666666
Far Cry 2,1,True,True,Action,Ubisoft,19.95,X360,2008,32,17.316666666666666
Far Cry: Instincts - Predator,4,True,True,Action,Ubisoft,17.95,X360,2006,1,15.733333333333333
Far Cry: Vengeance,2,True,True,Action,Ubisoft,16.95,Nintendo Wii,2006,0,0.0
Feel the Magic XY/XX,1,True,True,"Action,Adventure,Racing / Driving,Sports",Sega,8.95,Nintendo DS,2004,0,2.85
Ferrari Challenge Trofeo Pirelli,1,True,True,Racing / Driving,,17.95,PlayStation 3,2008,1,16.0
Field Commander,2,True,True,Strategy,"Sony,Ubisoft",14.95,Sony PSP,2006,0,13.883333333333333
FIFA Soccer,1,True,True,Sports,EA,14.95,Sony PSP,2005,0,0.0
FIFA Street 2,1,True,True,Sports,EA,17.95,Sony PSP,2006,3,19.5
FIFA Street 3,4,True,True,Sports,EA,14.95,X360,2008,0,5.0
Fight Night Round 3,2,True,True,"Action,Sports",EA,14.95,X360,2006,6,11.033333333333333
Final Fantasy,1,True,True,Role-Playing (RPG),SquareEnix,17.95,Sony PSP,2007,39,17.716666666666665
Final Fantasy Fables: Chocobo Tales,1,True,True,Action,SquareEnix,17.95,Nintendo DS,2007,7,9.45
Final Fantasy Fables: Chocobo's Dungeon,1,True,True,"Action,Role-Playing (RPG)",SquareEnix,17.95,Nintendo Wii,2008,2,22.133333333333333
Final Fantasy II,1,True,True,Role-Playing (RPG),SquareEnix,17.95,Sony PSP,2007,19,25.266666666666666
Final Fantasy III,1,True,True,Role-Playing (RPG),SquareEnix,17.95,Nintendo DS,2006,130,27.716666666666665
Final Fantasy IV,1,True,True,Role-Playing (RPG),SquareEnix,17.95,Nintendo DS,2007,16,31.55
Final Fantasy Tactics,1,True,True,"Role-Playing (RPG),Strategy",SquareEnix,17.95,Sony PSP,2007,21,38.483333333333334
Final Fantasy Tactics A2: Grimoire of the Rift,1,True,True,"Role-Playing (RPG),Strategy",SquareEnix,17.95,Nintendo DS,2007,14,46.36666666666667
Final Fantasy XI Online,1,True,True,"Action,Role-Playing (RPG)",SquareEnix,4.95,X360,2006,0,0.0
Final Fantasy XII: Revenant Wings,1,True,True,"Role-Playing (RPG),Strategy",SquareEnix,19.95,Nintendo DS,2007,10,29.366666666666667
Final Fantasy: Crystal Chronicles - Echoes of Time,1,True,True,Action,SquareEnix,24.95,Nintendo DS,2007,1,15.616666666666667
Fire Emblem: Radiant Dawn,1,True,True,"Role-Playing (RPG),Strategy",Nintendo,34.95,Nintendo Wii,2007,7,43.0
Fire Emblem: Shadow Dragon,1,True,True,"Role-Playing (RPG),Strategy",Nintendo,19.95,Nintendo DS,2008,6,20.75
Flash Focus: Vision Training in Minutes a Day,1,True,True,Action,Nintendo,17.95,Nintendo DS,2007,0,6.0
FlatOut: Head On,1,True,True,"Racing / Driving,Sports",,9.95,Sony PSP,2008,2,17.25
FlatOut: Ultimate Carnage,1,True,True,Racing / Driving,,16.95,X360,2007,2,17.25
"Flower, Sun and Rain",1,True,True,Adventure,,23.95,Nintendo DS,2008,1,11.916666666666666
Folklore,1,True,True,"Action,Role-Playing (RPG)",Sony,24.95,PlayStation 3,2007,2,14.866666666666667
Ford Bold Moves Street Racing,1,True,True,Racing / Driving,Eidos,17.95,Sony PSP,2006,0,0.0
Ford Racing 3,1,True,True,"Action,Racing / Driving",,14.95,Nintendo DS,2005,4,3.3333333333333335
Ford Racing Off Road,1,True,True,Racing / Driving,,12.95,Sony PSP,2008,0,0.0
Forza Motorsport 2,2,True,True,Racing / Driving,Microsoft,12.95,X360,2007,4,54.06666666666667
Fracture,1,True,True,Action,,14.95,X360,2008,0,7.016666666666667
Frogger: Helmet Chaos,1,True,True,Action,Konami,19.95,Sony PSP,2005,0,0.0
From the Abyss,1,True,True,"Action,Role-Playing (RPG)",,19.95,Nintendo DS,2008,1,6.083333333333333
Front Mission,1,True,True,Strategy,SquareEnix,17.95,Nintendo DS,2007,0,20.866666666666667
Frontlines: Fuel of War,1,True,True,Action,THQ,14.95,X360,2008,0,5.5
Full Auto,2,True,True,"Action,Racing / Driving",Sega,16.95,X360,2006,0,5.0
Full Auto 2: Battlelines,2,True,True,"Action,Racing / Driving",Sega,14.95,PlayStation 3,2006,1,8.75
Fullmetal Alchemist: Dual Sympathy,1,True,True,Action,,14.95,Nintendo DS,2005,0,14.0
Fuzion Frenzy 2,4,True,True,"Action,Sports",Microsoft,14.95,X360,2006,1,1.75
Game Party,4,True,True,Action,Midway,14.95,Nintendo Wii,2007,1,0.0
Gears of War,2,True,True,Action,Microsoft,19.95,X360,2006,15,9.183333333333334
Gears of War 2,2,True,True,Action,Microsoft,24.95,X360,2008,5,10.083333333333334
Genji: Days of the Blade,1,True,True,"Action,Role-Playing (RPG)",Sony,14.95,PlayStation 3,2006,0,13.333333333333334
Geometry Wars: Galaxies,1,True,True,Action,,14.95,Nintendo DS,2007,0,10.0
Ghost in the Shell: Stand Alone Complex,1,True,True,Action,Sony,14.95,Sony PSP,2005,0,0.0
Ghost Rider,4,True,True,Action,2K,16.95,Sony PSP,2007,1,5.15
Gitaroo Man Lives!,1,True,True,Simulation,,22.95,Sony PSP,2006,0,2.3333333333333335
God of War: Chains of Olympus,1,True,True,Action,Sony,17.95,Sony PSP,2008,39,5.416666666666667
Godzilla Unleashed: Double Smash,1,True,True,Action,Atari,17.95,Nintendo DS,2007,0,0.0
Godzilla: Unleashed,1,True,True,Action,Atari,24.95,Nintendo Wii,2007,0,0.0
Golden Axe,2,True,True,Action,Sega,14.95,X360,2007,9,1.15
GoldenEye: Rogue Agent,1,True,True,Action,EA,14.95,Nintendo DS,2005,0,9.416666666666666
Gradius Collection,1,True,True,Action,Konami,17.95,Sony PSP,2006,0,10.0
Gran Turismo 5: Prologue,2,True,True,"Racing / Driving,Simulation",Sony,24.95,PlayStation 3,2007,0,10.55
Grand Theft Auto IV,1,True,True,"Action,Racing / Driving",Rockstar,24.95,X360,2008,73,28.25
Grand Theft Auto: Liberty City Stories,1,True,True,"Action,Racing / Driving","Capcom,Rockstar",17.95,Sony PSP,2005,7,14.216666666666667
Grand Theft Auto: Vice City Stories,1,True,True,"Action,Racing / Driving",Rockstar,17.95,Sony PSP,2006,4,16.65
Gretzky NHL,2,True,True,Sports,Sony,9.95,Sony PSP,2005,0,0.0
GRID,1,True,True,"Racing / Driving,Simulation,Sports",,19.95,X360,2008,21,20.616666666666667
GripShift,1,True,True,Racing / Driving,Ubisoft,9.95,Sony PSP,2005,0,0.0
Guilty Gear XX ? Core,2,True,True,Action,,24.95,Nintendo Wii,2007,0,2.0
Guilty Gear: Dust Strikers,1,True,True,Action,,14.95,Nintendo DS,2006,0,0.31666666666666665
Guitar Hero II,2,True,True,"Action,Simulation",Activision,17.95,X360,2007,2,8.9
Guitar Hero III: Legends of Rock,2,True,True,"Action,Simulation",Activision,12.95,X360,2007,5,8.216666666666667
Guitar Hero: Aerosmith,1,True,True,"Action,Simulation",Activision,14.95,Nintendo Wii,2008,1,4.716666666666667
Guitar Hero: On Tour,1,True,True,"Action,Simulation",Activision,14.95,Nintendo DS,2008,1,0.0
Guitar Hero: On Tour - Decades,1,True,True,"Action,Simulation",Activision,17.95,Nintendo DS,2008,1,1.8333333333333335
Guitar Hero: World Tour,4,True,True,"Action,Simulation",Activision,17.95,Nintendo Wii,2008,4,8.233333333333333
Guitar Rock Tour,1,True,True,Simulation,,13.95,Nintendo DS,2008,0,0.0
GUN ,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",Activision,19.95,X360,2005,19,6.3
Gunpey DS,1,True,True,Strategy,Namco,12.95,Nintendo DS,2006,1,0.0
Gurumin: A Monstrous Adventure,1,True,True,Action,,13.95,Sony PSP,2006,1,9.316666666666666
Hail to the Chimp,4,True,True,"Action,Strategy",,16.95,X360,2008,0,0.0
Halo 3,4,True,True,Action,Microsoft,24.95,X360,2007,27,8.866666666666667
Happy Feet,2,True,True,Action,Midway,14.95,Nintendo Wii,2006,0,0.6666666666666666
Harry Potter and the Goblet of Fire,1,True,True,Action,EA,17.95,Nintendo DS,2005,4,7.2
Harry Potter and the Order of the Phoenix,1,True,True,Action,EA,24.95,Nintendo Wii,2007,10,10.533333333333333
Harvest Moon DS,1,True,True,"Role-Playing (RPG),Simulation",,17.95,Nintendo DS,2006,1,44.06666666666667
Harvest Moon: Island of Happiness,1,True,True,"Simulation,Strategy",,24.95,Nintendo DS,2008,0,0.0
Harvest Moon: Magical Melody,4,True,True,"Role-Playing (RPG),Simulation",,23.95,Nintendo Wii,2008,0,29.183333333333334
Harvest Moon: Tree of Tranquility,1,True,True,"Role-Playing (RPG),Simulation",,34.95,Nintendo Wii,2008,0,41.083333333333336
Harvey Birdman: Attorney at Law,1,True,True,Adventure,Capcom,14.95,Nintendo Wii,2008,1,3.85
Haze,2,True,True,Action,Ubisoft,12.95,PlayStation 3,2008,1,6.866666666666667
Heatseeker,1,True,True,Action,,17.95,Nintendo Wii,2007,0,9.75
Heavenly Sword,1,True,True,Action,Sony,24.95,PlayStation 3,2007,1,6.966666666666667
Hellboy: The Science of Evil,2,True,True,"Action,Adventure",Konami,16.95,PlayStation 3,2008,0,0.0
Heroes of Mana,1,True,True,Strategy,SquareEnix,24.95,Nintendo DS,2007,1,17.033333333333335
Hitman: Blood Money,1,True,True,Action,Eidos,22.95,X360,2006,23,11.816666666666666
Hot Pixel,1,True,True,Action,Atari,8.95,Sony PSP,2007,0,0.45
Hot Shots Golf: Open Tee,1,True,True,Sports,Sony,12.95,Sony PSP,2004,0,0.0
Hot Shots Golf: Open Tee 2,1,True,True,Sports,Sony,14.95,Sony PSP,2008,0,0.0
Hot Shots Golf: Out of Bounds,4,True,True,Sports,Sony,34.95,PlayStation 3,2008,0,0.0
Hot Wheels: Beat That!,1,True,True,"Action,Racing / Driving",Activision,19.95,X360,2007,0,0.0
Hotel Dusk: Room 215,1,True,True,Adventure,Nintendo,14.95,Nintendo DS,2007,17,15.15
Hour of Victory,1,True,True,Action,Midway,12.95,X360,2007,0,5.85
Ice Age 2: The Meltdown,1,True,True,Action,,17.95,Nintendo Wii,2006,0,5.0
Import Tuner Challenge,2,True,True,Racing / Driving,Ubisoft,17.95,X360,2006,1,25.0
Indianapolis 500 Legends,1,True,True,Racing / Driving,,16.95,Nintendo DS,2007,1,0.0
Infected,1,True,True,Action,,17.95,Sony PSP,2005,0,6.666666666666667
Infinite Undiscovery,1,True,True,"Action,Role-Playing (RPG)",SquareEnix,17.95,X360,2008,2,24.433333333333334
Innocent Life: A Futuristic Harvest Moon,1,True,True,"Role-Playing (RPG),Simulation,Strategy",,17.95,Sony PSP,2006,0,0.0
Insecticide,1,True,True,"Action,Adventure",,12.95,Nintendo DS,2008,0,3.7
InuYasha: Secret of the Divine Jewel,1,True,True,Role-Playing (RPG),Namco,24.95,Nintendo DS,2007,0,0.0
Iron Man,1,True,True,Action,Sega,16.95,Sony PSP,2008,3,4.333333333333333
Izuna 2: The Unemployed Ninja Returns,1,True,True,Role-Playing (RPG),,17.95,Nintendo DS,2008,0,13.25
Jackass: The Game,1,True,True,Action,,17.95,Sony PSP,2007,0,0.0
Jam Sessions,1,True,True,"Educational,Simulation",Ubisoft,8.95,Nintendo DS,2007,0,0.25
Jeanne d'Arc,1,True,True,"Role-Playing (RPG),Strategy",Sony,19.95,Sony PSP,2007,2,31.6
Juiced 2: Hot Import Nights,2,True,True,Racing / Driving,THQ,14.95,X360,2007,0,15.5
Just Cause,1,True,True,"Action,Racing / Driving",Eidos,16.95,X360,2006,15,8.6
Justice League Heroes,1,True,True,Action,,17.95,Sony PSP,2006,1,5.0
Kameo: Elements of Power,1,True,True,Action,Microsoft,11.95,X360,2005,1,9.25
Kane & Lynch: Dead Men,2,True,True,Action,Eidos,14.95,X360,2007,4,5.6
Killzone: Liberation,1,True,True,"Action,Strategy",Sony,16.95,Sony PSP,2006,2,7.583333333333333
King of Clubs,1,True,True,Sports,,14.95,Nintendo Wii,2007,0,0.0
Kingdom of Paradise,2,True,True,"Action,Role-Playing (RPG)",Sony,12.95,Sony PSP,2005,0,0.0
Kingdom Under Fire: Circle of Doom,1,True,True,"Action,Role-Playing (RPG)",Microsoft,14.95,X360,2007,3,9.0
Kirby Super Star Ultra,1,True,True,Action,Nintendo,24.95,Nintendo DS,2008,9,5.116666666666666
Kirby: Canvas Curse,1,True,True,Action,Nintendo,17.95,Nintendo DS,2005,6,5.033333333333333
Kirby: Squeak Squad,1,True,True,Action,Nintendo,27.95,Nintendo DS,2006,22,4.216666666666667
Klonoa: Door to Phantomile,1,True,True,Action,Namco,17.95,Nintendo Wii,2008,4,4.366666666666666
Knights in the Nightmare,1,True,True,"Role-Playing (RPG),Strategy",,29.95,Nintendo DS,2008,0,26.566666666666666
Kororinpa: Marble Mania,2,True,True,"Action,Strategy",Nintendo,17.95,Nintendo Wii,2006,0,0.0
Kung Fu Panda,4,True,True,Action,Activision,9.95,X360,2008,6,4.683333333333334
Lair,1,True,True,Action,Sony,19.95,PlayStation 3,2007,0,8.866666666666667
Lara Croft Tomb Raider: Legend,1,True,True,"Action,Racing / Driving",Eidos,17.95,Nintendo DS,2006,26,7.766666666666667
Left 4 Dead,2,True,True,Action,,19.95,X360,2008,12,6.883333333333333
Legendary,1,True,True,Action,Atari,17.95,X360,2008,5,5.283333333333333
LEGO Batman: The Videogame,2,True,True,Action,,14.95,X360,2008,35,9.833333333333334
LEGO Indiana Jones: The Original Adventures,2,True,True,Action,,9.95,X360,2008,31,9.7
LEGO Star Wars II: The Original Trilogy,1,True,True,Action,EA,17.95,Nintendo DS,2006,14,11.25
LEGO Star Wars: The Complete Saga,2,True,True,Action,,17.95,Nintendo Wii,2007,31,14.666666666666666
Lemmings,1,True,True,Strategy,Sony,17.95,Sony PSP,2006,1,20.466666666666665
Let's Tap,1,True,True,Simulation,Sega,17.95,Nintendo Wii,2008,0,0.0
LifeSigns: Surgical Unit,1,True,True,"Simulation,Strategy",,22.95,Nintendo DS,2005,1,0.0
Line Rider 2: Unbound,1,True,True,"Simulation,Sports",,8.95,Nintendo DS,2008,0,0.0
Link's Crossbow Training,1,True,True,Action,Nintendo,14.95,Nintendo Wii,2007,4,1.4833333333333334
LittleBigPlanet,4,True,True,Action,Sony,24.95,PlayStation 3,2008,7,9.4
Lock's Quest,1,True,True,"Action,Adventure,Strategy",THQ,14.95,Nintendo DS,2008,0,14.883333333333333
LocoRoco,1,True,True,"Action,Strategy",Sony,17.95,Sony PSP,2006,1,5.4
LocoRoco 2,1,True,True,"Action,Strategy",Sony,11.95,Sony PSP,2008,2,6.95
Looney Tunes: Acme Arsenal,1,True,True,Action,,14.95,Nintendo Wii,2007,0,3.8333333333333335
Looney Tunes: Cartoon Conductor,1,True,True,Action,Eidos,13.95,Nintendo DS,2008,1,4.0
Lost in Blue,1,True,True,Role-Playing (RPG),Konami,24.95,Nintendo DS,2005,2,0.0
Lost in Blue 2,1,True,True,Role-Playing (RPG),Konami,17.95,Nintendo DS,2007,0,0.0
Lost in Blue 3,1,True,True,Role-Playing (RPG),Konami,17.95,Nintendo DS,2008,0,0.0
Lost Odyssey,1,True,True,Role-Playing (RPG),Microsoft,19.95,X360,2007,19,50.11666666666667
Lost Planet: Extreme Condition,1,True,True,Action,Capcom,12.95,X360,2006,3,8.566666666666666
Lost: Via Domus,1,True,True,"Action,Adventure",Ubisoft,16.95,PlayStation 3,2008,12,5.35
LostMagic,1,True,True,"Action,Role-Playing (RPG)",Ubisoft,14.95,Nintendo DS,2006,3,13.0
Lumines II,2,True,True,Strategy,,14.95,Sony PSP,2006,0,15.0
Lumines: Puzzle Fusion,1,True,True,Strategy,Ubisoft,14.95,Sony PSP,2004,0,10.333333333333334
Luminous Arc,1,True,True,"Role-Playing (RPG),Strategy",,24.95,Nintendo DS,2007,5,22.916666666666668
Lunar Knights,1,True,True,Action,Konami,16.95,Nintendo DS,2007,2,11.883333333333333
Lunar: Dragon Song,1,True,True,Role-Playing (RPG),Ubisoft,14.95,Nintendo DS,2005,4,20.316666666666666
Madagascar,1,True,True,Adventure,Activision,14.95,Nintendo DS,2005,0,5.283333333333333
Madagascar: Escape 2 Africa,1,True,True,"Action,Adventure",Activision,17.95,Nintendo DS,2008,0,6.0
Madden NFL 06,1,True,True,Sports,EA,7.95,Sony PSP,2005,2,0.0
Madden NFL 07,2,True,True,Sports,EA,4.95,X360,2006,0,0.0
Madden NFL 08,4,True,True,Sports,EA,9.95,X360,2007,1,17.0
Madden NFL 09,4,True,True,Sports,EA,14.95,X360,2008,3,10.0
Madden NFL 2005,1,True,True,Sports,EA,8.95,Nintendo DS,2004,0,0.0
Magical Starsign,1,True,True,Role-Playing (RPG),Nintendo,9.95,Nintendo DS,2006,1,27.216666666666665
Magnetica,1,True,True,"Action,Strategy",Nintendo,17.95,Nintendo DS,2006,0,9.933333333333334
Major League Baseball 2K6,2,True,True,Sports,2K,4.95,X360,2006,3,0.0
Major League Baseball 2K7,2,True,True,Sports,2K,9.95,X360,2007,0,0.0
Major League Baseball 2K9,1,True,True,Sports,2K,14.95,X360,2008,0,0.0
Manhunt 2,1,True,True,Action,Rockstar,19.95,Nintendo Wii,2007,2,8.9
Mario & Luigi: Partners in Time,1,True,True,"Action,Role-Playing (RPG)",Nintendo,29.95,Nintendo DS,2005,7,18.15
Mario & Sonic at the Olympic Games,4,True,True,"Action,Sports","Nintendo,Sega",29.95,Nintendo Wii,2007,2,7.0
Mario Hoops 3 on 3,1,True,True,Sports,Nintendo,22.95,Nintendo DS,2006,0,3.5
Mario Kart DS,1,True,True,Racing / Driving,Nintendo,29.95,Nintendo DS,2005,32,4.783333333333333
Mario Kart Wii,4,True,True,Racing / Driving,Nintendo,29.95,Nintendo Wii,2008,29,5.7
Mario Party 8,4,True,True,"Action,Strategy",Nintendo,39.95,Nintendo Wii,2007,3,4.216666666666667
Mario Party DS,1,True,True,"Action,Strategy",Nintendo,27.95,Nintendo DS,2007,1,7.966666666666667
Mario Strikers Charged,4,True,True,"Action,Sports",Nintendo,29.95,Nintendo Wii,2007,0,11.133333333333333
Mario vs. Donkey Kong 2: March of the Minis,1,True,True,Action,Nintendo,27.95,Nintendo DS,2006,0,3.8833333333333333
Marvel Nemesis: Rise of the Imperfects ,1,True,True,Action,EA,17.95,Sony PSP,2005,0,4.366666666666666
Marvel Trading Card Game,1,True,True,Strategy,Konami,16.95,Nintendo DS,2007,0,0.0
Marvel Ultimate Alliance,4,True,True,"Action,Role-Playing (RPG)",Activision,14.95,X360,2006,3,12.866666666666667
Mass Effect,1,True,True,"Action,Role-Playing (RPG)",Microsoft,17.95,X360,2007,379,17.383333333333333
Master of Illusion,1,True,True,Strategy,Nintendo,14.95,Nintendo DS,2006,2,0.0
Master of the Monster Lair,1,True,True,Role-Playing (RPG),,14.95,Nintendo DS,2008,0,0.0
MechAssault: Phantom War,1,True,True,Action,,12.95,Nintendo DS,2006,0,7.5
Medal of Honor: Airborne,2,True,True,Action,EA,17.95,X360,2007,3,5.8
Medal of Honor: Heroes,1,True,True,Action,EA,14.95,Sony PSP,2006,0,4.95
Medal of Honor: Heroes 2,1,True,True,Action,EA,17.95,Sony PSP,2007,0,4.95
Medal of Honor: Vanguard,1,True,True,Action,EA,17.95,Nintendo Wii,2007,0,3.55
MediEvil Resurrection,1,True,True,Action,Sony,17.95,Sony PSP,2005,3,9.966666666666667
Mega Man Battle Network 5: Double Team DS,1,True,True,"Action,Role-Playing (RPG)",Capcom,17.95,Nintendo DS,2005,3,29.916666666666668
Mega Man Maverick Hunter X,1,True,True,Action,Capcom,17.95,Sony PSP,2005,5,4.066666666666666
Mega Man Powered Up,1,True,True,Action,Capcom,16.95,Sony PSP,2006,0,2.783333333333333
Mega Man Star Force 2: Zerker X Ninja,1,True,True,"Action,Role-Playing (RPG)",Capcom,17.95,Nintendo DS,2008,1,17.283333333333335
Mega Man Star Force: Dragon,1,True,True,"Action,Role-Playing (RPG)",Capcom,27.95,Nintendo DS,2007,2,16.95
Mega Man ZX,1,True,True,Action,Capcom,19.95,Nintendo DS,2006,2,8.883333333333333
Mega Man ZX Advent,1,True,True,Action,Capcom,17.95,Nintendo DS,2007,2,7.0
Mercenaries 2: World in Flames,1,True,True,Action,EA,14.95,X360,2008,3,16.95
Mercury Meltdown,1,True,True,Strategy,,12.95,Sony PSP,2006,0,0.0
Metal Gear Ac!d,1,True,True,Strategy,Konami,17.95,Sony PSP,2004,1,20.7
Metal Gear Ac!d 2,1,True,True,Strategy,Konami,12.95,Sony PSP,2005,0,13.45
Metal Gear Solid 4: Guns of the Patriots,1,True,True,Action,Konami,22.95,PlayStation 3,2008,25,18.683333333333334
Metal Gear Solid: Digital Graphic Novel,1,True,True,Adventure,Konami,17.95,Sony PSP,2006,1,3.25
Metal Gear Solid: Portable Ops,1,True,True,"Action,Strategy",Konami,17.95,Sony PSP,2006,1,11.683333333333334
Metal Slug 7,1,True,True,Action,,17.95,Nintendo DS,2008,0,1.2666666666666666
Metal Slug Anthology,4,True,True,Action,,16.95,Nintendo Wii,2006,2,6.666666666666667
Meteos,1,True,True,Strategy,Nintendo,15.95,Nintendo DS,2005,2,8.516666666666667
